"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","congruency","coordinates","correct","correct_Introduction","correct_keyboard_response","correct_new_mouse_response","correct_response","count_Gender","count_Introduction","count_Response","count_Target_1","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation_dot","count_gaze_cue","count_gaze_cue_1","count_gaze_neutral","count_getting_started","count_incorrect_sound","count_instructions","count_keyboard_response","count_logger","count_neutral_gaze","count_new_mouse_response","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_3","count_practice_loop","count_reset_feedback","count_target","count_trial_sequence","count_welcome","cursor_x","cursor_y","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","form_var","fullscreen","gender_subject","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Introduction","response_feedback","response_keyboard_response","response_new_mouse_response","response_new_sketchpad_1","response_new_sketchpad_3","response_time","response_time_Introduction","response_time_feedback","response_time_keyboard_response","response_time_new_mouse_response","response_time_new_sketchpad_1","response_time_new_sketchpad_3","response_time_welcome","response_welcome","richtung_bild_links","richtung_bild_rechts","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Gender","time_Introduction","time_Response","time_Target_1","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation_dot","time_gaze_cue","time_gaze_cue_1","time_gaze_neutral","time_getting_started","time_incorrect_sound","time_instructions","time_keyboard_response","time_logger","time_neutral_gaze","time_new_mouse_response","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_3","time_practice_loop","time_reset_feedback","time_target","time_trial_sequence","time_welcome","title","total_correct","total_response_time","total_responses","type","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","0","uniform","undefined","undefined","NA","NA","m","0","0","0","0","0","0","NA","NA","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","0","0","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","m","space","NA","NA","NA","NA","NA","613.447375161","1697.32858182","NA","NA","NA","NA","NA","NA","NA","links","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","17682.8702694","17604.7279385","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","16860.9083551","NA","NA","NA","NA","NA","NA","NA","18297.1322046","NA","NA","17682.7085892","NA","NA","NA","NA","NA","16839.8160234","NA","Tutorial: Gaze cuing","0","0","0","Greeble","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","0","uniform","undefined","undefined","NA","NA","m","0","0","1","1","0","0","NA","NA","0","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","NA","0","NA","0","NA","1","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","1","1","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","m","space","NA","NA","NA","NA","NA","401.258333584","1697.32858182","NA","NA","NA","NA","NA","NA","NA","links","rechts","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","19812.6532433","19734.9266614","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","18990.8745665","NA","NA","NA","NA","NA","NA","NA","20214.6876416","NA","NA","19812.5038816","NA","NA","NA","NA","NA","18964.7614242","NA","Tutorial: Gaze cuing","0","0","0","Greeble","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","0","uniform","undefined","undefined","NA","NA","m","0","0","2","2","0","0","NA","NA","0","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","0","NA","0","NA","2","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","2","2","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","m","space","NA","NA","NA","NA","NA","357.631893799","1697.32858182","NA","NA","NA","NA","NA","NA","NA","rechts","rechts","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","21456.081766","21377.9738242","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","20634.4555305","NA","NA","NA","NA","NA","NA","NA","21814.4681672","NA","NA","21455.9344574","NA","NA","NA","NA","NA","20612.6846554","NA","Tutorial: Gaze cuing","0","0","0","Greeble","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","0","uniform","undefined","undefined","NA","NA","y","0","0","3","3","0","0","NA","NA","0","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","3","NA","0","NA","0","NA","3","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","3","3","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","y","space","NA","NA","NA","NA","NA","411.132115274","1697.32858182","NA","NA","NA","NA","NA","NA","NA","links","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","23032.4987386","22938.0390301","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","22193.8447593","NA","NA","NA","NA","NA","NA","NA","23444.3899808","NA","NA","23032.3504035","NA","NA","NA","NA","NA","22181.9199493","NA","Tutorial: Gaze cuing","0","0","0","Human","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","1","uniform","undefined","undefined","NA","NA","y","0","0","4","4","0","0","NA","NA","0","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","4","NA","0","NA","0","NA","4","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","4","4","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","y","space","NA","NA","NA","NA","NA","290.902642366","1697.32858182","NA","NA","NA","NA","NA","NA","NA","rechts","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","24675.9760221","24581.131874","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","23837.341547","NA","NA","NA","NA","NA","NA","NA","24967.6932245","NA","NA","24675.8256339","NA","NA","NA","NA","NA","23827.2783686","NA","Tutorial: Gaze cuing","0","0","0","Human","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","1","uniform","undefined","undefined","NA","NA","y","0","0","5","5","0","0","NA","NA","0","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","5","NA","0","NA","0","NA","5","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","5","5","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","y","space","NA","NA","NA","NA","NA","275.879732546","1697.32858182","NA","NA","NA","NA","NA","NA","NA","rechts","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","26185.296755","26090.190839","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","25346.5945282","NA","NA","NA","NA","NA","NA","NA","26461.9356143","NA","NA","26185.1484198","NA","NA","NA","NA","NA","25333.5333377","NA","Tutorial: Gaze cuing","0","0","0","Human","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","0","uniform","undefined","undefined","NA","NA","y","0","0","6","6","0","0","NA","NA","0","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","6","NA","0","NA","0","NA","6","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","6","6","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","y","space","NA","NA","NA","NA","NA","308.910219264","1697.32858182","NA","NA","NA","NA","NA","NA","NA","rechts","rechts","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","27644.3565155","27566.292715","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","26822.4336098","NA","NA","NA","NA","NA","NA","NA","27954.0279147","NA","NA","27644.2117733","NA","NA","NA","NA","NA","26803.5088188","NA","Tutorial: Gaze cuing","0","0","0","Human","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","0","uniform","undefined","undefined","NA","NA","m","0","0","7","7","0","0","NA","NA","0","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","7","NA","0","NA","0","NA","7","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","7","7","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","m","space","NA","NA","NA","NA","NA","284.056129192","1697.32858182","NA","NA","NA","NA","NA","NA","NA","links","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","29153.5817801","29079.3998432","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","28331.6901839","NA","NA","NA","NA","NA","NA","NA","29438.4098679","NA","NA","29153.4349848","NA","NA","NA","NA","NA","28324.0280841","NA","Tutorial: Gaze cuing","0","0","0","Greeble","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","1","uniform","undefined","undefined","NA","NA","m","0","0","8","8","0","0","NA","NA","0","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","8","NA","0","NA","0","NA","8","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","8","8","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","m","space","NA","NA","NA","NA","NA","343.91217739","1697.32858182","NA","NA","NA","NA","NA","NA","NA","rechts","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","30679.8619919","30601.4927955","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","29858.0145368","NA","NA","NA","NA","NA","NA","NA","31024.5317563","NA","NA","30679.7136567","NA","NA","NA","NA","NA","29843.0804228","NA","Tutorial: Gaze cuing","0","0","0","Greeble","yes","1024"
"undefined","undefined","undefined","undefined","white","no","psycho","psycho","psycho","0","1","uniform","undefined","undefined","NA","NA","y","0","0","9","9","0","0","NA","NA","0","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","9","NA","0","NA","0","NA","9","NA","NA","NA","02/13/18 14:51:39","The main experiment item","yes","","Python Experiment.osexp","C:\Users\EfKAy\Desktop","no","mono","no","18","no","black","no","Ok","NA","yes","Male","768","psycho","9","9","0","C:/Users/EfKAy/Desktop/subject-1.csv","psycho","Jazzy James","3.1.9","0","y","space","NA","NA","NA","NA","NA","282.574317698","1697.32858182","NA","NA","NA","NA","NA","NA","NA","rechts","links","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","6422.94246599","32239.523254","32144.580558","16612.9561754","16612.7775574","NA","NA","6341.47516978","16610.7547589","NA","31400.8482306","NA","NA","NA","NA","NA","NA","NA","32522.9049459","NA","NA","32239.3697861","NA","NA","NA","NA","NA","31392.9279558","NA","Tutorial: Gaze cuing","0","0","0","Human","yes","1024"
