subject_nr,type,correct_response,response,acc,congruency,response_time
5,chair,m,None,0,1,3000.0158
5,face,y,y,1,0,145.271
5,chair,m,y,0,0,197.2555
5,chair,m,m,1,0,127.2737
5,face,y,y,1,0,0.0147
5,face,y,y,1,0,156.7851
5,face,y,y,1,0,175.9523
5,face,y,y,1,0,194.5934
5,face,y,y,1,0,199.6588
5,face,y,y,1,0,88.4667
5,face,y,y,1,0,142.5246
5,chair,m,m,1,0,138.5631
5,chair,m,m,1,0,215.0435
5,chair,m,m,1,0,96.2998
5,chair,m,m,1,0,191.117
5,chair,m,m,1,0,201.8326
5,face,y,y,1,1,59.183
5,chair,m,m,1,0,336.9966
5,face,y,y,1,1,156.3851
5,chair,m,m,1,0,303.6055
5,chair,m,m,1,0,276.8464
5,face,y,y,1,1,145.3161
5,face,y,y,1,0,676.6531
5,face,y,y,1,0,251.0127
5,chair,m,m,1,0,242.7716
5,chair,m,m,1,1,291.3849
5,chair,m,m,1,0,96.7185
5,face,y,y,1,0,150.6411
5,chair,m,m,1,0,130.7626
5,face,y,y,1,0,87.281
5,face,y,m,0,1,157.4454
5,face,y,y,1,0,152.802
5,face,y,y,1,0,140.0413
5,chair,m,m,1,0,200.7327
5,face,y,y,1,0,250.0129
5,face,y,y,1,0,247.7702
5,face,y,y,1,0,191.0635
5,face,y,y,1,0,144.9751
5,chair,m,m,1,0,252.4232
5,face,y,y,1,1,130.9232
5,face,y,y,1,0,190.7518
5,face,y,y,1,0,181.4086
5,chair,m,m,1,1,184.0076
5,face,y,y,1,0,226.1308
5,chair,m,m,1,0,323.2787
5,chair,m,m,1,1,280.7008
5,face,y,y,1,1,125.8057
5,face,y,y,1,0,210.5914
5,face,y,y,1,0,163.0883
5,chair,m,y,0,0,199.0561
5,face,y,y,1,0,120.4815
5,face,y,y,1,1,180.3391
5,chair,m,m,1,1,174.9745
5,chair,m,m,1,0,338.4217
5,chair,m,m,1,1,206.3425
5,face,y,y,1,1,167.5066
5,chair,m,m,1,0,258.8689
5,chair,m,m,1,0,234.7639
5,face,y,y,1,0,170.5855
5,face,y,y,1,0,381.3306
5,chair,m,m,1,0,255.6286
5,face,y,y,1,0,141.564
5,chair,m,m,1,1,434.2878
5,face,y,y,1,0,249.3171
5,chair,m,m,1,0,321.3058
5,face,y,y,1,0,251.7357
5,chair,m,m,1,0,361.194
5,face,y,y,1,0,227.6014
5,chair,m,m,1,0,300.1232
5,face,y,y,1,0,129.3221
5,face,y,y,1,0,309.4188
5,chair,m,m,1,1,144.5931
