block,trial,congruence,label,correct,rt
0,0,False,Ich,True,1.846642146
0,1,True,Ich,True,1.97008704033
0,2,False,Ich,True,0.673822660465
0,3,True,Ich,False,1.45001061272
0,4,False,Ich,True,1.00367481785
0,5,False,Stuhl,True,1.08128609997
0,6,False,Ich,True,1.04880187637
0,7,True,Stuhl,True,0.824650305207
1,0,False,Ich,True,1.39161586482
1,1,False,Ich,True,0.709786280873
1,2,True,Stuhl,True,0.69965435937
1,3,False,Ich,True,0.775580340764
1,4,False,Ich,True,0.62361465604
1,5,True,Ich,False,1.05606940237
1,6,False,Stuhl,False,0.715113555663
1,7,True,Ich,True,1.3339067325
2,0,False,Ich,True,1.1407876861
2,1,True,Ich,True,1.775866493
2,2,True,Ich,True,0.547790080076
2,3,False,Stuhl,True,0.763566876412
2,4,False,Ich,True,1.90541624057
2,5,False,Stuhl,True,2.24139829469
2,6,True,Stuhl,True,1.15573862358
2,7,True,Stuhl,True,1.40857109905
3,0,False,Ich,True,1.00712917116
3,1,False,Ich,True,0.701411506045
3,2,True,Ich,True,0.661103874096
3,3,False,Stuhl,True,1.70154000772
3,4,True,Ich,True,0.758926038514
3,5,False,Stuhl,True,0.555798235233
3,6,True,Stuhl,True,0.72934808617
3,7,True,Stuhl,True,0.546360140317
