block,trial,congruence,label,correct,rt
1,0,False,Ich,True,0.695123910904
1,1,True,Ich,True,0.483476877213
1,2,True,Stuhl,False,0.569391012192
1,3,False,Stuhl,True,0.641884088516
1,4,True,Stuhl,True,0.529757022858
1,5,True,Stuhl,True,0.521322011948
1,6,False,Stuhl,True,0.700714826584
1,7,False,Stuhl,True,0.680178165436
1,8,False,Ich,True,0.599258899689
1,9,False,Ich,True,0.404756069183
2,0,True,Ich,True,0.692988872528
2,1,True,Stuhl,True,0.635121822357
2,2,True,Stuhl,True,0.528324127197
2,3,False,Ich,True,0.612591028214
2,4,False,Stuhl,False,0.586966991425
2,5,True,Ich,True,0.722654104233
2,6,False,Ich,True,0.743427038193
2,7,True,Stuhl,True,0.885281801224
2,8,False,Stuhl,True,0.71652507782
2,9,True,Ich,True,0.542777061462
3,0,True,Stuhl,True,0.867996931076
3,1,True,Stuhl,True,0.591325998306
3,2,False,Stuhl,True,0.72000002861
3,3,True,Ich,True,0.659965991974
3,4,False,Ich,True,0.508322954178
3,5,False,Ich,True,0.63366985321
3,6,False,Ich,True,0.404680967331
3,7,True,Ich,True,0.633337974548
3,8,False,Stuhl,True,0.731882095337
3,9,False,Ich,True,0.699079990387
4,0,False,Stuhl,True,0.792791843414
4,1,True,Ich,True,0.620434045792
4,2,True,Stuhl,True,0.744031906128
4,3,True,Ich,True,0.636481046677
4,4,False,Stuhl,True,0.802936792374
4,5,True,Stuhl,True,0.645729064941
4,6,False,Stuhl,True,0.509248971939
4,7,True,Stuhl,False,0.612579107285
4,8,True,Ich,True,0.627246856689
4,9,False,Stuhl,True,0.689544200897
