block,trial,congruence,label,correct,rt
1,0,True,Stuhl,True,0.576032876968
1,1,False,Ich,True,0.699803113937
1,2,True,Ich,True,0.82356595993
1,3,True,Stuhl,True,1.02355408669
1,4,False,Stuhl,True,0.772870063782
1,5,False,Stuhl,True,1.22581982613
1,6,False,Stuhl,True,0.639858007431
1,7,True,Stuhl,True,0.808001041412
1,8,False,Stuhl,True,0.896702051163
1,9,False,Stuhl,True,0.64860200882
2,0,False,Ich,True,0.97261095047
2,1,True,Stuhl,True,0.766065835953
2,2,False,Ich,True,0.537072896957
2,3,True,Stuhl,True,0.645870923996
2,4,False,Stuhl,True,1.06143093109
2,5,True,Stuhl,True,0.61944103241
2,6,True,Stuhl,True,1.2188270092
2,7,False,Stuhl,True,0.626883983612
2,8,True,Ich,True,0.866666078568
2,9,True,Stuhl,False,0.917616128922
3,0,False,Ich,True,0.810284137726
3,1,False,Stuhl,True,0.795827150345
3,2,True,Stuhl,True,0.566890954971
3,3,True,Ich,True,0.547525882721
3,4,False,Ich,True,0.732247114182
3,5,False,Stuhl,True,0.921537160873
3,6,True,Stuhl,True,0.577594041824
3,7,True,Ich,True,0.970270872116
3,8,False,Stuhl,True,0.665624856949
3,9,False,Stuhl,True,0.873327970505
4,0,False,Ich,False,0.73427605629
4,1,False,Ich,True,0.647109985352
4,2,True,Stuhl,True,0.668728113174
4,3,False,Stuhl,True,0.887549877167
4,4,False,Stuhl,True,0.623984098434
4,5,False,Stuhl,True,0.635190010071
4,6,False,Stuhl,True,0.55698800087
4,7,False,Stuhl,True,0.613433837891
4,8,True,Ich,True,0.68508887291
4,9,False,Stuhl,True,0.680564880371
