block,trial,congruence,label,correct,rt
1,0,False,Stuhl,False,-999
1,1,False,Ich,False,2.86539006233
1,2,True,Ich,True,0.967366933823
1,3,False,Ich,True,1.14620494843
1,4,True,Ich,True,1.11255002022
1,5,True,Ich,True,1.05632901192
1,6,True,Ich,True,0.634177923203
1,7,False,Stuhl,True,1.3880341053
1,8,True,Stuhl,True,1.17336893082
1,9,True,Stuhl,True,1.48076486588
2,0,True,Ich,True,0.802308797836
2,1,False,Stuhl,True,0.632749795914
2,2,False,Stuhl,True,1.02161097527
2,3,False,Stuhl,True,0.399363994598
2,4,False,Ich,False,0.465888977051
2,5,True,Ich,True,0.95298409462
2,6,False,Stuhl,True,1.0192592144
2,7,True,Stuhl,True,1.03884887695
2,8,False,Ich,True,1.29991412163
2,9,True,Ich,True,0.747090816498
3,0,False,Ich,True,0.808989048004
3,1,False,Ich,False,1.45958209038
3,2,False,Ich,True,0.829262971878
3,3,False,Stuhl,True,1.2744641304
3,4,True,Stuhl,True,0.909385919571
3,5,False,Ich,True,0.875191926956
3,6,False,Ich,True,0.668096065521
3,7,False,Ich,True,0.751194953918
3,8,True,Ich,True,0.759135007858
3,9,False,Ich,True,0.606815099716
4,0,False,Ich,True,1.11331987381
4,1,True,Ich,True,0.774317979813
4,2,False,Ich,True,0.588439941406
4,3,False,Stuhl,False,1.07344317436
4,4,False,Stuhl,True,0.873764038086
4,5,True,Stuhl,True,0.668695926666
4,6,True,Stuhl,False,0.601524114609
4,7,False,Stuhl,True,0.859754085541
4,8,True,Stuhl,True,0.934324026108
4,9,False,Ich,True,0.696485996246
