"acc","accuracy","average_response_time","avg_rt","background","bidi","blickr_congruency","blickr_eins","blickr_zwei","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_keyboard_response","correct_response","count_Response","count_Target_1","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_fixation_dot","count_gaze_cue","count_gaze_cue_1","count_gaze_neutral","count_getting_started","count_incorrect_sound","count_instructions","count_keyboard_response","count_logger","count_neutral_gaze","count_new_form_multiple_choice","count_new_logger","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_2","count_new_sketchpad_3","count_practice_loop","count_reset_feedback","count_target","count_trial_sequence","count_welcome","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","form_var","fullscreen","gender_subj","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_feedback","response_incorrect_sound","response_keyboard_response","response_new_sketchpad_1","response_new_sketchpad_2","response_new_sketchpad_3","response_time","response_time_feedback","response_time_incorrect_sound","response_time_keyboard_response","response_time_new_sketchpad_1","response_time_new_sketchpad_2","response_time_new_sketchpad_3","response_time_welcome","response_welcome","round_decimals","sampler_backend","sex","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Response","time_Target_1","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_fixation_dot","time_gaze_cue","time_gaze_cue_1","time_gaze_neutral","time_getting_started","time_incorrect_sound","time_instructions","time_keyboard_response","time_logger","time_neutral_gaze","time_new_form_multiple_choice","time_new_logger","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_2","time_new_sketchpad_3","time_practice_loop","time_reset_feedback","time_target","time_trial_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","white","no","1","rechts","links","psycho","psycho","psycho","0","uniform","NA","NA","m","0","0","0","0","NA","NA","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","0","NA","0","NA","0","NA","0","0","NA","0","NA","0","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","None","NA","NA","NA","NA","space","NA","3000.11086464","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","311390.702009","311320.456982","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","310574.120045","NA","NA","NA","NA","NA","NA","NA","314391.235113","NA","NA","NA","311390.50293","NA","297156.351089","NA","NA","NA","NA","310554.61216","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","rechts","rechts","psycho","psycho","psycho","0","uniform","NA","NA","z","1","1","0","0","NA","NA","0","0","NA","1","NA","NA","NA","NA","NA","NA","NA","1","NA","0","NA","1","NA","0","0","NA","0","NA","1","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","z","NA","NA","NA","NA","space","NA","496.284008026","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Frau","1024","2","48000","-16","experiment","5","odd","315391.340017","315321.186066","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","314574.68915","NA","NA","NA","NA","NA","NA","NA","315890.60998","NA","NA","NA","315391.139984","NA","297156.351089","NA","NA","NA","NA","314552.237034","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","links","psycho","psycho","psycho","0","uniform","NA","NA","m","2","2","0","0","NA","NA","0","0","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","0","NA","2","NA","0","0","NA","0","NA","2","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","326.757907867","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","316891.883135","316820.564985","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","316074.07403","NA","NA","NA","NA","NA","NA","NA","317220.806122","NA","NA","NA","316891.678095","NA","297156.351089","NA","NA","NA","NA","316051.891088","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","rechts","rechts","psycho","psycho","psycho","0","uniform","NA","NA","m","3","3","0","0","NA","NA","0","0","NA","3","NA","NA","NA","NA","NA","NA","NA","3","NA","0","NA","3","NA","0","0","NA","0","NA","3","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","367.558956146","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","318208.065987","318137.58707","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","317391.196966","NA","NA","NA","NA","NA","NA","NA","318577.754974","NA","NA","NA","318207.865953","NA","297156.351089","NA","NA","NA","NA","317377.511024","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","rechts","psycho","psycho","psycho","0","uniform","NA","NA","m","4","4","0","0","NA","NA","0","0","NA","4","NA","NA","NA","NA","NA","NA","NA","4","NA","0","NA","4","NA","0","0","NA","0","NA","4","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","294.186115265","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","319558.289051","319488.05213","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","318741.691113","NA","NA","NA","NA","NA","NA","NA","319854.660034","NA","NA","NA","319558.089018","NA","297156.351089","NA","NA","NA","NA","318726.087093","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","rechts","psycho","psycho","psycho","0","uniform","NA","NA","m","5","5","0","0","NA","NA","0","0","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","0","NA","5","NA","0","0","NA","0","NA","5","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","303.235054016","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","320841.169119","320771.640062","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","320025.273085","NA","NA","NA","NA","NA","NA","NA","321146.765947","NA","NA","NA","320840.970039","NA","297156.351089","NA","NA","NA","NA","320010.717154","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","rechts","rechts","psycho","psycho","psycho","0","uniform","NA","NA","z","6","6","0","0","NA","NA","0","0","NA","6","NA","NA","NA","NA","NA","NA","NA","6","NA","0","NA","6","NA","0","0","NA","0","NA","6","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","251.899957657","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Frau","1024","2","48000","-16","experiment","5","odd","322125.468969","322054.614067","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","321308.221102","NA","NA","NA","NA","NA","NA","NA","322379.65703","NA","NA","NA","322125.267982","NA","297156.351089","NA","NA","NA","NA","321294.898033","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","1","rechts","links","psycho","psycho","psycho","0","uniform","NA","NA","z","7","7","0","0","NA","NA","0","0","NA","7","NA","NA","NA","NA","NA","NA","NA","7","NA","0","NA","7","NA","0","0","NA","0","NA","7","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","z","NA","NA","NA","NA","space","NA","447.778940201","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Frau","1024","2","48000","-16","experiment","5","odd","323358.623028","323287.676096","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","322541.275024","NA","NA","NA","NA","NA","NA","NA","323808.885098","NA","NA","NA","323358.422995","NA","297156.351089","NA","NA","NA","NA","322526.350021","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","rechts","psycho","psycho","psycho","0","uniform","NA","NA","z","8","8","0","0","NA","NA","0","0","NA","8","NA","NA","NA","NA","NA","NA","NA","8","NA","0","NA","8","NA","0","0","NA","0","NA","8","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","z","NA","NA","NA","NA","space","NA","298.023939133","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Frau","1024","2","48000","-16","experiment","5","odd","324792.382002","324721.375942","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","323974.931002","NA","NA","NA","NA","NA","NA","NA","325092.638016","NA","NA","NA","324792.184114","NA","297156.351089","NA","NA","NA","NA","323959.926128","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","links","psycho","psycho","psycho","0","uniform","NA","NA","z","9","9","0","0","NA","NA","0","0","NA","9","NA","NA","NA","NA","NA","NA","NA","9","NA","0","NA","9","NA","0","0","NA","0","NA","9","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","z","NA","NA","NA","NA","space","NA","323.501110077","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Frau","1024","2","48000","-16","experiment","5","odd","326074.732065","326004.812002","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","325258.378029","NA","NA","NA","NA","NA","NA","NA","326403.413057","NA","NA","NA","326074.532986","NA","297156.351089","NA","NA","NA","NA","325243.221045","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","rechts","psycho","psycho","psycho","0","uniform","NA","NA","z","10","10","0","0","NA","NA","0","0","NA","10","NA","NA","NA","NA","NA","NA","NA","10","NA","0","NA","10","NA","0","0","NA","0","NA","10","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","z","NA","NA","NA","NA","space","NA","409.077882767","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Frau","1024","2","48000","-16","experiment","5","odd","327392.152071","327321.223021","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","326574.820042","NA","NA","NA","NA","NA","NA","NA","327803.570986","NA","NA","NA","327391.952991","NA","297156.351089","NA","NA","NA","NA","326553.961992","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","1","rechts","links","psycho","psycho","psycho","0","uniform","NA","NA","m","11","11","0","0","NA","NA","0","0","NA","11","NA","NA","NA","NA","NA","NA","NA","11","NA","0","NA","11","NA","0","0","NA","0","NA","11","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","446.83599472","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","328792.475939","328722.049952","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","327975.888014","NA","NA","NA","NA","NA","NA","NA","329241.523027","NA","NA","NA","328792.276144","NA","297156.351089","NA","NA","NA","NA","327955.472946","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","rechts","psycho","psycho","psycho","0","uniform","NA","NA","m","12","12","0","0","NA","NA","0","0","NA","12","NA","NA","NA","NA","NA","NA","NA","12","NA","0","NA","12","NA","0","0","NA","0","NA","12","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","405.299186707","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","330226.022005","330154.757977","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","329408.401012","NA","NA","NA","NA","NA","NA","NA","330633.605957","NA","NA","NA","330225.823164","NA","297156.351089","NA","NA","NA","NA","329393.831968","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
"undefined","undefined","undefined","undefined","white","no","0","links","links","psycho","psycho","psycho","0","uniform","NA","NA","m","13","13","0","0","NA","NA","0","0","NA","13","NA","NA","NA","NA","NA","NA","NA","13","NA","0","NA","13","NA","0","0","NA","0","NA","13","NA","Tue Feb 20 14:00:20 2018","The main experiment item","yes","","Python Experiment.osexp","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung","no","mono","no","18","no","black","no","Ok","NA","no","Male","768","psycho","/Users/johannaschuller/Documents/Uni/Master/Erstes_Semester/Python/Pruefungsleistung/Data/subject-5.csv","psycho","Interactive Ising","3.0.7","0","m","NA","NA","NA","NA","space","NA","341.52007103","NA","NA","NA","NA","7204.72407341","NA","NA","NA","2","legacy","Mann","1024","2","48000","-16","experiment","5","odd","331609.812975","331538.676977","310409.928083","310409.465075","NA","NA","297094.208956","310408.619165","NA","330792.252064","NA","NA","NA","NA","NA","NA","NA","331953.505039","NA","NA","NA","331609.611988","NA","297156.351089","NA","NA","NA","NA","330786.826134","NA","Tutorial: Gaze cuing","0","0","0","yes","1024"
