subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
HU,28,männlich,Gryffindor,das,Der Pate,38,0,0,Sympathie,positive,200,right,Januar,-200,left,-200,left,0.04,cross,None,x,True,0.374180078506
HU,28,männlich,Gryffindor,das,Der Pate,38,0,1,Glück,positive,-200,right,Zucker,200,right,200,right,0.04,cross,None,m,True,0.374566078186
HU,28,männlich,Gryffindor,das,Der Pate,38,0,2,Ekel,negative,200,right,Platz,-200,left,-200,left,1,cross,None,x,True,0.320434093475
HU,28,männlich,Gryffindor,das,Der Pate,38,0,3,Vergnügen,positive,200,right,Bluse,-200,left,-200,left,0.04,cross,None,x,True,0.427438020706
HU,28,männlich,Gryffindor,das,Der Pate,38,0,4,Solidarität,positive,-200,right,Laden,200,right,200,right,0.04,cross,None,m,True,0.368706941605
HU,28,männlich,Gryffindor,das,Der Pate,38,0,5,Hass,negative,200,right,Schinken,-200,left,200,right,1,cross,None,m,True,0.3054459095
HU,28,männlich,Gryffindor,das,Der Pate,38,0,6,Schrei,negative,200,right,Herr,-200,left,200,right,1,cross,None,m,True,0.315004110336
HU,28,männlich,Gryffindor,das,Der Pate,38,0,7,Übelkeit,negative,-200,right,Decke,200,right,200,right,0.04,cross,None,m,True,0.375699996948
HU,28,männlich,Gryffindor,das,Der Pate,38,0,8,Qual,negative,-200,right,Dusche,200,right,200,right,1,cross,None,m,True,0.290134906769
HU,28,männlich,Gryffindor,das,Der Pate,38,0,9,Tapferkeit,positive,200,right,Markt,-200,left,-200,left,0.04,cross,None,x,True,0.372627019882
HU,28,männlich,Gryffindor,das,Der Pate,38,0,10,Droge,negative,-200,right,Berg,200,right,-200,left,1,cross,None,x,True,0.33758687973
HU,28,männlich,Gryffindor,das,Der Pate,38,0,11,Freiheit,positive,200,right,Flughafen,-200,left,-200,left,0.04,cross,None,x,True,0.364691972733
HU,28,männlich,Gryffindor,das,Der Pate,38,0,12,Frohsinn,positive,200,right,Bildschirm,-200,left,200,right,1,cross,None,m,True,0.277091026306
HU,28,männlich,Gryffindor,das,Der Pate,38,0,13,Einsamkeit,negative,-200,right,Kunde,200,right,-200,left,1,cross,None,x,True,0.320903778076
HU,28,männlich,Gryffindor,das,Der Pate,38,0,14,Unterstützung,positive,-200,right,Juli,200,right,-200,left,0.04,cross,None,x,True,0.337805986404
HU,28,männlich,Gryffindor,das,Der Pate,38,0,15,Reichtum,positive,200,right,Hut,-200,left,-200,left,1,cross,None,x,True,0.303241968155
HU,28,männlich,Gryffindor,das,Der Pate,38,0,16,Schock,negative,200,right,Anruf,-200,left,200,right,1,cross,None,m,True,0.280985116959
HU,28,männlich,Gryffindor,das,Der Pate,38,0,17,Bombe,negative,200,right,Einwohner,-200,left,200,right,1,cross,None,m,True,0.252400875092
HU,28,männlich,Gryffindor,das,Der Pate,38,0,18,Lebensfreude,positive,-200,right,Dezember,200,right,200,right,0.04,cross,None,m,True,0.300980091095
HU,28,männlich,Gryffindor,das,Der Pate,38,0,19,Dankbarkeit,positive,-200,right,Koch,200,right,200,right,1,cross,None,m,True,0.29425406456
HU,28,männlich,Gryffindor,das,Der Pate,38,0,20,Schleim,negative,200,right,Brille,-200,left,200,right,1,cross,None,m,True,0.315742015839
