subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,0,Hässlichkeit,negative,200,right,Zucker,-200,left,-200,left,1,cross,None,x,True,0.60081911087
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,1,Zuverlässigkeit,positive,200,right,Pullover,-200,left,200,right,0.04,cross,None,m,True,0.498757123947
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,2,Zufriedenheit,positive,200,right,Juni,-200,left,200,right,1,cross,None,m,True,0.501400947571
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,3,Einsamkeit,negative,200,right,Einwohner,-200,left,-200,left,0.04,cross,None,x,True,0.523980855942
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,4,Erfolg,positive,200,right,Brille,-200,left,200,right,0.04,cross,None,m,True,0.454894065857
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,5,Beliebtheit,positive,-200,right,Berg,200,right,-200,left,0.04,cross,None,x,True,0.580677986145
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,6,Wut,negative,-200,right,Platz,200,right,-200,left,1,cross,None,x,True,0.460070133209
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,7,Neid,negative,200,right,Sessel,-200,left,-200,left,1,cross,None,x,True,0.334463119507
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,8,Anschlag,negative,-200,right,RadiergummI,200,right,200,right,0.04,cross,None,m,True,0.36212182045
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,9,Tod,negative,200,right,Bankkarte,-200,left,-200,left,0.04,cross,None,x,True,0.365607976913
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,10,Lebensfreude,positive,200,right,Herr,-200,left,200,right,0.04,cross,None,m,True,0.344844102859
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,11,Bewunderung,positive,200,right,Septmeber,-200,left,200,right,0.04,cross,None,m,True,0.374902009964
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,12,Entspannung,positive,200,right,Decke,-200,left,200,right,1,cross,None,m,True,0.333666801453
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,13,Freundschaft,positive,-200,right,März,200,right,-200,left,0.04,cross,None,x,True,0.448395967484
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,14,Schönheit,positive,-200,right,August,200,right,200,right,1,cross,None,m,True,0.320859909058
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,15,Angst,negative,-200,right,Supermarkt,200,right,-200,left,0.04,cross,None,x,True,0.371817111969
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,16,Heimweh,negative,200,right,Cola,-200,left,-200,left,0.04,cross,None,x,True,0.200877904892
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,17,Schrott,negative,200,right,Markt,-200,left,200,right,1,cross,None,m,True,0.327944993973
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,18,Hass,negative,-200,right,Mai,200,right,200,right,1,cross,None,m,True,0.3560090065
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,19,Gesundheit,positive,-200,right,Projektor,200,right,200,right,0.04,cross,None,m,True,0.315864086151
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,20,Freiheit,positive,200,right,Park,-200,left,200,right,0.04,cross,None,m,True,0.328869104385
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,21,Kraft,positive,200,right,Geburtstag,-200,left,-200,left,1,cross,None,x,True,0.590739011765
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,22,Verehrung,positive,200,right,Flur,-200,left,200,right,1,cross,None,m,True,0.313409805298
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,23,Wohlstand,positive,200,right,Bank,-200,left,200,right,0.04,cross,None,m,True,0.496870994568
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,0,24,Belohnung,positive,200,right,Kleiderhaken,-200,left,200,right,0.04,cross,None,m,True,0.339420080185
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,0,Müll,negative,-200,right,Zug,200,right,200,right,0.04,hole,left,m,True,0.419375896454
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,1,Attraktivität,positive,-200,right,Marktplatz,200,right,-200,left,1,hole,left,x,True,0.342525005341
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,2,Gefängnis,negative,200,right,Garten,-200,left,-200,left,1,hole,right,x,True,0.491627931595
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,3,Schock,negative,200,right,Dose,-200,left,200,right,1,hole,left,m,True,0.393203020096
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,4,Regen,negative,-200,right,Balkon,200,right,200,right,1,hole,right,m,True,0.426375865936
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,5,Ekel,negative,200,right,Anzug,-200,left,200,right,0.04,hole,left,m,True,0.355401992798
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,6,Frohsinn,positive,-200,right,Apfel,200,right,200,right,1,hole,right,m,True,0.356737136841
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,7,Horror,negative,200,right,Tee,-200,left,200,right,0.04,hole,left,m,True,0.345977067947
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,8,Trennung,negative,200,right,Monitor,-200,left,-200,left,1,hole,left,x,True,0.315419912338
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,9,Qual,negative,200,right,Dezember,-200,left,-200,left,0.04,hole,left,x,True,0.718382835388
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,10,Kostbarkeit,positive,200,right,Flughafen,-200,left,200,right,0.04,hole,right,m,True,0.405297994614
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,11,Feind,negative,-200,right,Fernseher,200,right,200,right,0.04,hole,right,m,True,0.507056951523
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,12,Liebe,positive,200,right,Drucker,-200,left,-200,left,1,hole,right,x,True,0.370389938354
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,13,Dummheit,negative,-200,right,Laden,200,right,-200,left,1,hole,left,x,True,0.300311088562
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,14,Höflichkeit,positive,-200,right,Strumpf,200,right,-200,left,1,hole,right,m,False,0.312372922897
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,15,Sympathie,positive,200,right,Wagen,-200,left,-200,left,1,hole,right,x,True,0.292983055115
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,16,Gerechtigkeit,positive,-200,right,Diskette,200,right,-200,left,1,hole,right,x,True,0.482276916504
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,17,Totschlag,negative,200,right,Hut,-200,left,-200,left,0.04,hole,right,x,True,0.440678119659
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,18,Schatz,positive,-200,right,Februar,200,right,-200,left,1,hole,left,x,True,0.321865081787
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,19,Lachen,positive,200,right,Kunde,-200,left,200,right,0.04,hole,left,m,True,0.527536153793
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,20,Geschenk,positive,-200,right,Dusche,200,right,-200,left,1,hole,right,x,True,0.349740028381
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,21,Harmonie,positive,-200,right,Schinken,200,right,-200,left,0.04,hole,left,x,True,0.389293193817
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,22,Sucht,negative,-200,right,Löffel,200,right,-200,left,0.04,hole,right,x,True,0.385497093201
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,23,Frieden,positive,200,right,Bahnhof,-200,left,200,right,1,hole,left,x,False,0.486425876617
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,1,24,Unglück,negative,200,right,Apfelsine,-200,left,-200,left,0.04,hole,left,x,True,0.379566192627
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,2,0,Tapferkeit,positive,200,right,Füller,-200,left,-200,left,1,cross,None,x,True,0.321567773819
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,2,1,Eleganz,positive,200,right,Kellner,-200,left,-200,left,1,cross,None,x,True,0.383269071579
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,2,2,Leidenschaft,positive,-200,right,Brücke,200,right,-200,left,1,cross,None,x,True,0.353650093079
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,2,3,Rücksichtnahme,positive,200,right,Locher,-200,left,200,right,1,cross,None,m,True,0.344961166382
NvR,44,weiblich,Hufflepuff,die,Der Pate,39,2,4,Stärke,positive,-200,right,Fuß,200,right,-200,left,1,cross,None,x,True,0.324611902237
