subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
ju548,23,männlich,Slytherin,die,Der Pate,56,0,0,Angst,negative,-200,right,Hut,200,right,200,right,1,cross,None,m,True,0.3921552049
ju548,23,männlich,Slytherin,die,Der Pate,56,0,1,Waffe,negative,-200,right,Garten,200,right,-200,left,0.04,cross,None,x,True,0.516456921585
ju548,23,männlich,Slytherin,die,Der Pate,56,0,2,Neid,negative,200,right,Februar,-200,left,-200,left,1,cross,None,x,True,0.606988165993
ju548,23,männlich,Slytherin,die,Der Pate,56,0,3,Beliebtheit,positive,-200,right,Passant,200,right,200,right,0.04,cross,None,m,True,0.426112175453
ju548,23,männlich,Slytherin,die,Der Pate,56,0,4,Liebe,positive,200,right,Supermarkt,-200,left,-200,left,1,cross,None,x,True,0.391097852495
ju548,23,männlich,Slytherin,die,Der Pate,56,0,5,Kostbarkeit,positive,-200,right,Name,200,right,200,right,0.04,cross,None,m,True,0.462898235768
ju548,23,männlich,Slytherin,die,Der Pate,56,0,6,Hass,negative,200,right,Cola,-200,left,200,right,1,cross,None,m,True,0.398832408246
ju548,23,männlich,Slytherin,die,Der Pate,56,0,7,Geisel,negative,200,right,April,-200,left,200,right,1,cross,None,m,True,0.430380307138
ju548,23,männlich,Slytherin,die,Der Pate,56,0,8,Schatz,positive,-200,right,Kaffee,200,right,-200,left,0.04,cross,None,x,True,0.442485331092
ju548,23,männlich,Slytherin,die,Der Pate,56,0,9,Verehrung,positive,200,right,Fuß,-200,left,200,right,0.04,cross,None,m,True,0.40636663558
ju548,23,männlich,Slytherin,die,Der Pate,56,0,10,Trauer,negative,-200,right,Füller,200,right,200,right,0.04,cross,None,m,True,0.494597071782
ju548,23,männlich,Slytherin,die,Der Pate,56,0,11,Einsamkeit,negative,-200,right,Bahnhof,200,right,200,right,0.04,cross,None,m,True,0.413760199212
ju548,23,männlich,Slytherin,die,Der Pate,56,0,12,Droge,negative,-200,right,Hafen,200,right,-200,left,1,cross,None,x,True,0.449627595488
ju548,23,männlich,Slytherin,die,Der Pate,56,0,13,Krankheit,negative,200,right,Diskette,-200,left,-200,left,0.04,cross,None,x,True,0.473499812186
ju548,23,männlich,Slytherin,die,Der Pate,56,0,14,Erfolg,positive,-200,right,Löffel,200,right,200,right,1,cross,None,m,True,0.420140269212
ju548,23,männlich,Slytherin,die,Der Pate,56,0,15,Gestank,negative,-200,right,Herr,200,right,-200,left,0.04,cross,None,x,True,0.568506628275
ju548,23,männlich,Slytherin,die,Der Pate,56,0,16,Genuss,positive,200,right,Marktplatz,-200,left,200,right,1,cross,None,m,True,0.348162079696
ju548,23,männlich,Slytherin,die,Der Pate,56,0,17,Dummheit,negative,200,right,Geburtstag,-200,left,200,right,1,cross,None,m,True,0.385945433751
ju548,23,männlich,Slytherin,die,Der Pate,56,0,18,Lebensfreude,positive,-200,right,Apotheke,200,right,-200,left,1,cross,None,x,True,0.46253630193
ju548,23,männlich,Slytherin,die,Der Pate,56,0,19,Wohlbefinden,positive,-200,right,Kugelschrieber,200,right,200,right,1,cross,None,m,True,0.470536381006
ju548,23,männlich,Slytherin,die,Der Pate,56,0,20,Folter,negative,-200,right,Decke,200,right,-200,left,0.04,cross,None,x,True,0.486908351071
ju548,23,männlich,Slytherin,die,Der Pate,56,0,21,Hilfsbereitschaft,positive,200,right,Bankkarte,-200,left,200,right,0.04,cross,None,m,True,0.441978387069
ju548,23,männlich,Slytherin,die,Der Pate,56,0,22,Dankbarkeit,positive,-200,right,November,200,right,200,right,0.04,cross,None,m,True,0.491724519525
ju548,23,männlich,Slytherin,die,Der Pate,56,0,23,Zufriedenheit,positive,200,right,Pullover,-200,left,-200,left,0.04,cross,None,x,True,0.578717031982
ju548,23,männlich,Slytherin,die,Der Pate,56,0,24,Reichtum,positive,200,right,Markt,-200,left,-200,left,0.04,cross,None,x,True,0.466221625451
ju548,23,männlich,Slytherin,die,Der Pate,56,1,0,Treue,positive,-200,right,Flughafen,200,right,-200,left,1,hole,right,x,True,0.418574787211
ju548,23,männlich,Slytherin,die,Der Pate,56,1,1,Trennung,negative,200,right,Septmeber,-200,left,200,right,0.04,hole,right,m,True,0.601880791131
ju548,23,männlich,Slytherin,die,Der Pate,56,1,2,Frohsinn,positive,-200,right,Bibliothek,200,right,-200,left,1,hole,right,x,True,0.546106248628
ju548,23,männlich,Slytherin,die,Der Pate,56,1,3,Sympathie,positive,200,right,Laden,-200,left,200,right,1,hole,left,m,True,0.593943141401
ju548,23,männlich,Slytherin,die,Der Pate,56,1,4,Totschlag,negative,-200,right,Pass,200,right,200,right,1,hole,left,m,True,0.475746093318
ju548,23,männlich,Slytherin,die,Der Pate,56,1,5,Glück,positive,-200,right,Locher,200,right,200,right,1,hole,right,m,True,0.556803050451
ju548,23,männlich,Slytherin,die,Der Pate,56,1,6,Ehrlichkeit,positive,-200,right,Fußboden,200,right,200,right,1,hole,left,m,True,0.35905762855
ju548,23,männlich,Slytherin,die,Der Pate,56,1,7,Feind,negative,200,right,Dezember,-200,left,200,right,0.04,hole,left,m,True,0.480018966366
ju548,23,männlich,Slytherin,die,Der Pate,56,1,8,Terror,negative,200,right,Fernseher,-200,left,-200,left,1,hole,right,x,True,0.432119248901
ju548,23,männlich,Slytherin,die,Der Pate,56,1,9,Heimweh,negative,200,right,Koch,-200,left,-200,left,1,hole,right,x,True,0.425883398857
ju548,23,männlich,Slytherin,die,Der Pate,56,1,10,Leid,negative,200,right,Stuhl,-200,left,200,right,0.04,hole,right,m,True,0.520400655922
ju548,23,männlich,Slytherin,die,Der Pate,56,1,11,Frieden,positive,-200,right,Bildschirm,200,right,-200,left,1,hole,right,x,True,0.37525100261
ju548,23,männlich,Slytherin,die,Der Pate,56,1,12,Rücksichtnahme,positive,200,right,Juni,-200,left,-200,left,0.04,hole,right,x,True,0.429832269438
ju548,23,männlich,Slytherin,die,Der Pate,56,1,13,Herzlichkeit,positive,200,right,Monitor,-200,left,-200,left,0.04,hole,left,x,True,0.451101803686
ju548,23,männlich,Slytherin,die,Der Pate,56,1,14,Gerechtigkeit,positive,200,right,Anzug,-200,left,-200,left,0.04,hole,left,x,True,0.412813876756
ju548,23,männlich,Slytherin,die,Der Pate,56,1,15,Bewunderung,positive,-200,right,Dose,200,right,-200,left,1,hole,left,x,True,0.374980737921
ju548,23,männlich,Slytherin,die,Der Pate,56,1,16,Freundschaft,positive,200,right,Brille,-200,left,-200,left,1,hole,right,x,True,0.381973645184
ju548,23,männlich,Slytherin,die,Der Pate,56,1,17,Gefängnis,negative,-200,right,Fahrschein,200,right,200,right,1,hole,left,m,True,0.416537131649
ju548,23,männlich,Slytherin,die,Der Pate,56,1,18,Müll,negative,-200,right,Wind,200,right,-200,left,1,hole,right,x,True,0.409048738889
ju548,23,männlich,Slytherin,die,Der Pate,56,1,19,Mord,negative,-200,right,Eile,200,right,-200,left,1,hole,left,x,True,0.38404449122
ju548,23,männlich,Slytherin,die,Der Pate,56,1,20,Mut,positive,-200,right,Baum,200,right,200,right,0.04,hole,right,m,True,0.418692929205
ju548,23,männlich,Slytherin,die,Der Pate,56,1,21,Unfall,negative,200,right,Mai,-200,left,-200,left,1,hole,left,x,True,0.334970069118
ju548,23,männlich,Slytherin,die,Der Pate,56,1,22,Vergnügen,positive,-200,right,Apfelsine,200,right,200,right,0.04,hole,left,m,True,0.454082225449
ju548,23,männlich,Slytherin,die,Der Pate,56,1,23,Armut,negative,-200,right,August,200,right,200,right,0.04,hole,right,m,True,0.407347728964
ju548,23,männlich,Slytherin,die,Der Pate,56,1,24,Geschenk,positive,200,right,Kakao,-200,left,200,right,1,hole,right,m,True,0.357676274609
ju548,23,männlich,Slytherin,die,Der Pate,56,2,0,Leidenschaft,positive,-200,right,RadiergummI,200,right,-200,left,0.04,cross,None,x,True,0.456389750354
ju548,23,männlich,Slytherin,die,Der Pate,56,2,1,Schrott,negative,200,right,Strumpf,-200,left,200,right,0.04,cross,None,m,True,0.40693956567
ju548,23,männlich,Slytherin,die,Der Pate,56,2,2,Rache,negative,200,right,Bedienung,-200,left,200,right,1,cross,None,m,True,0.415634667967
ju548,23,männlich,Slytherin,die,Der Pate,56,2,3,Solidarität,positive,200,right,Einwohner,-200,left,200,right,0.04,cross,None,m,True,0.421453266405
ju548,23,männlich,Slytherin,die,Der Pate,56,2,4,Kraft,positive,200,right,Tee,-200,left,-200,left,1,cross,None,x,True,0.374633423518
ju548,23,männlich,Slytherin,die,Der Pate,56,2,5,Tod,negative,200,right,Zucker,-200,left,200,right,1,cross,None,m,True,0.437905447092
ju548,23,männlich,Slytherin,die,Der Pate,56,2,6,Depression,negative,200,right,Computer,-200,left,200,right,1,cross,None,m,True,0.35977556929
ju548,23,männlich,Slytherin,die,Der Pate,56,2,7,Spaß,positive,-200,right,Schlüssel,200,right,-200,left,1,cross,None,x,True,0.416598375887
ju548,23,männlich,Slytherin,die,Der Pate,56,2,8,Ekel,negative,200,right,Dienstag,-200,left,-200,left,1,cross,None,x,True,0.41452871589
ju548,23,männlich,Slytherin,die,Der Pate,56,2,9,Schönheit,positive,-200,right,Brücke,200,right,-200,left,1,cross,None,x,True,0.444022363983
ju548,23,männlich,Slytherin,die,Der Pate,56,2,10,Sturz,negative,-200,right,Juli,200,right,200,right,0.04,cross,None,m,True,0.387991781346
ju548,23,männlich,Slytherin,die,Der Pate,56,2,11,Krieg,negative,200,right,Gast,-200,left,200,right,0.04,cross,None,m,True,0.462027776986
ju548,23,männlich,Slytherin,die,Der Pate,56,2,12,Qual,negative,200,right,Flur,-200,left,-200,left,0.04,cross,None,x,True,0.445822549518
ju548,23,männlich,Slytherin,die,Der Pate,56,2,13,Bombe,negative,200,right,Schinken,-200,left,200,right,0.04,cross,None,m,True,0.361171148252
ju548,23,männlich,Slytherin,die,Der Pate,56,2,14,Höflichkeit,positive,-200,right,Sessel,200,right,-200,left,1,cross,None,x,True,0.40237074485
