subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
BM,25,männlich,Gryffindor,das,Der Pate,40,0,0,Stärke,positive,-200,right,Wagen,200,right,200,right,0.04,cross,None,m,True,0.380542039871
BM,25,männlich,Gryffindor,das,Der Pate,40,0,1,Koma,negative,-200,right,Anruf,200,right,200,right,1,cross,None,m,True,0.362581014633
BM,25,männlich,Gryffindor,das,Der Pate,40,0,2,Wunde,negative,-200,right,Laden,200,right,-200,left,0.04,cross,None,x,True,0.41990685463
BM,25,männlich,Gryffindor,das,Der Pate,40,0,3,Anerkennung,positive,200,right,Baum,-200,left,200,right,1,cross,None,m,True,0.308474063873
BM,25,männlich,Gryffindor,das,Der Pate,40,0,4,Sturz,negative,200,right,Bedienung,-200,left,200,right,1,cross,None,m,True,0.311764955521
BM,25,männlich,Gryffindor,das,Der Pate,40,0,5,Spaß,positive,-200,right,Dusche,200,right,200,right,0.04,cross,None,m,True,0.361425876617
BM,25,männlich,Gryffindor,das,Der Pate,40,0,6,Lachen,positive,200,right,Pullover,-200,left,-200,left,1,cross,None,x,True,0.352429151535
BM,25,männlich,Gryffindor,das,Der Pate,40,0,7,Leid,negative,-200,right,Tisch,200,right,-200,left,1,cross,None,x,True,0.330564975739
BM,25,männlich,Gryffindor,das,Der Pate,40,0,8,Zufriedenheit,positive,-200,right,Tee,200,right,200,right,1,cross,None,m,True,0.31440782547
BM,25,männlich,Gryffindor,das,Der Pate,40,0,9,Gestank,negative,-200,right,Apfelsine,200,right,200,right,0.04,cross,None,m,True,0.392067193985
BM,25,männlich,Gryffindor,das,Der Pate,40,0,10,Verehrung,positive,200,right,Septmeber,-200,left,200,right,1,cross,None,m,True,0.326539039612
BM,25,männlich,Gryffindor,das,Der Pate,40,0,11,Hass,negative,200,right,Cola,-200,left,-200,left,0.04,cross,None,x,True,0.377954959869
BM,25,männlich,Gryffindor,das,Der Pate,40,0,12,Bewunderung,positive,200,right,Passant,-200,left,-200,left,0.04,cross,None,x,True,0.356199026108
BM,25,männlich,Gryffindor,das,Der Pate,40,0,13,Rücksichtnahme,positive,200,right,Zug,-200,left,200,right,0.04,cross,None,m,True,0.354727983475
BM,25,männlich,Gryffindor,das,Der Pate,40,0,14,Unfall,negative,-200,right,Bildschirm,200,right,-200,left,1,cross,None,x,True,0.317489862442
BM,25,männlich,Gryffindor,das,Der Pate,40,0,15,Geisel,negative,-200,right,Fußboden,200,right,-200,left,0.04,cross,None,x,True,0.3406021595
BM,25,männlich,Gryffindor,das,Der Pate,40,0,16,Lebensfreude,positive,200,right,Februar,-200,left,-200,left,1,cross,None,x,True,0.28076505661
BM,25,männlich,Gryffindor,das,Der Pate,40,0,17,Sympathie,positive,200,right,Bus,-200,left,200,right,1,cross,None,m,True,0.271250009537
BM,25,männlich,Gryffindor,das,Der Pate,40,0,18,Kostbarkeit,positive,200,right,Fernseher,-200,left,-200,left,1,cross,None,x,True,0.311411142349
BM,25,männlich,Gryffindor,das,Der Pate,40,0,19,Totschlag,negative,-200,right,Geburtstag,200,right,-200,left,0.04,cross,None,x,True,0.319368839264
BM,25,männlich,Gryffindor,das,Der Pate,40,0,20,Geschenk,positive,200,right,Drucker,-200,left,200,right,1,cross,None,m,True,0.286453008652
BM,25,männlich,Gryffindor,das,Der Pate,40,0,21,Schock,negative,-200,right,Bibliothek,200,right,-200,left,0.04,cross,None,x,True,0.336465120316
BM,25,männlich,Gryffindor,das,Der Pate,40,0,22,Bereicherung,positive,200,right,Einwohner,-200,left,200,right,1,cross,None,m,True,0.286932945251
BM,25,männlich,Gryffindor,das,Der Pate,40,0,23,Treue,positive,-200,right,Flughafen,200,right,200,right,1,cross,None,m,True,0.308166980743
BM,25,männlich,Gryffindor,das,Der Pate,40,0,24,Vergnügen,positive,-200,right,Balkon,200,right,-200,left,0.04,cross,None,x,True,0.322118997574
BM,25,männlich,Gryffindor,das,Der Pate,40,1,0,Panik,negative,200,right,Wind,-200,left,-200,left,1,hole,left,x,True,0.30902504921
