subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,0,Schleim,negative,-200,right,Decke,200,right,200,right,1,cross,None,m,True,0.375674180686
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,1,Eleganz,positive,-200,right,Bank,200,right,-200,left,0.04,cross,None,x,True,0.412947824225
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,2,Schönheit,positive,-200,right,August,200,right,200,right,1,cross,None,m,True,0.256321788765
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,3,Rache,negative,-200,right,Apotheke,200,right,-200,left,0.04,cross,None,x,True,0.405163482763
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,4,Verehrung,positive,200,right,Berg,-200,left,200,right,1,cross,None,m,True,0.289157792926
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,5,Mut,positive,200,right,Januar,-200,left,200,right,1,cross,None,m,True,0.344095857814
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,6,Trennung,negative,-200,right,Garten,200,right,-200,left,1,cross,None,x,True,0.32519943919
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,7,Trauer,negative,200,right,Projektor,-200,left,200,right,0.04,cross,None,m,True,0.400694628246
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,8,Lachen,positive,-200,right,Kellner,200,right,-200,left,1,cross,None,x,True,0.301795444451
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,9,Leidenschaft,positive,200,right,Tisch,-200,left,-200,left,1,cross,None,x,True,0.332302586176
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,10,Freundschaft,positive,200,right,Fuß,-200,left,200,right,1,cross,None,m,True,0.315968153067
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,11,Schatz,positive,-200,right,Füller,200,right,200,right,1,cross,None,m,True,0.506084121764
FGHJK,30,männlich,Hufflepuff,das,Der Pate,43,0,12,Bombe,negative,-200,right,Teppich,200,right,-200,left,0.04,cross,None,x,True,0.494828615338
