subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,0,Schock,negative,-200,right,Rock,200,right,200,right,1,cross,None,m,True,0.301761068404
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,1,Rache,negative,200,right,Zucker,-200,left,200,right,0.04,cross,None,m,True,0.363024675287
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,2,Heimweh,negative,-200,right,Gast,200,right,200,right,1,cross,None,x,False,0.29485666845
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,3,Mut,positive,-200,right,Projektor,200,right,-200,left,1,cross,None,x,True,0.322388131171
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,4,Höflichkeit,positive,200,right,Park,-200,left,200,right,0.04,cross,None,m,True,0.37290673051
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,5,Optimismus,positive,-200,right,Platz,200,right,200,right,0.04,cross,None,m,True,0.33027757518
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,6,Freiheit,positive,-200,right,Bus,200,right,-200,left,0.04,cross,None,x,True,0.365313234739
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,7,Geschenk,positive,200,right,Teppich,-200,left,200,right,1,cross,None,m,True,0.255013927817
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,8,Lachen,positive,-200,right,Passant,200,right,200,right,1,cross,None,m,True,0.328040776774
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,9,Unterstützung,positive,200,right,Kugelschrieber,-200,left,200,right,0.04,cross,None,m,True,0.349457296543
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,10,Wohlstand,positive,-200,right,Bahnhof,200,right,-200,left,0.04,cross,None,x,True,0.329793943092
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,11,Hilfsbereitschaft,positive,-200,right,Flur,200,right,200,right,0.04,cross,None,m,True,0.292690203525
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,12,Koma,negative,200,right,Fernseher,-200,left,-200,left,0.04,cross,None,x,True,0.353174230084
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,13,Depression,negative,-200,right,Bildschirm,200,right,-200,left,1,cross,None,x,True,0.279992492869
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,14,Ehrlichkeit,positive,200,right,Markt,-200,left,-200,left,1,cross,None,x,True,0.3706146162
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,15,Hass,negative,-200,right,Fuß,200,right,-200,left,1,cross,None,x,True,0.311792480759
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,16,Folter,negative,-200,right,Garten,200,right,200,right,1,cross,None,m,True,0.366865677759
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,17,Bombe,negative,-200,right,November,200,right,-200,left,0.04,cross,None,x,True,0.407182962634
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,18,Kraft,positive,-200,right,Dienstag,200,right,200,right,1,cross,None,m,True,0.377768733539
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,19,Entspannung,positive,-200,right,Strumpf,200,right,-200,left,1,cross,None,x,True,0.293921804987
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,20,Tapferkeit,positive,-200,right,Computer,200,right,-200,left,0.04,cross,None,x,True,0.531567655504
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,21,Leidenschaft,positive,200,right,Tee,-200,left,-200,left,0.04,cross,None,x,True,0.373066361062
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,22,Sympathie,positive,-200,right,Schinken,200,right,-200,left,0.04,cross,None,x,True,0.394451666623
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,23,Freundschaft,positive,-200,right,Anzug,200,right,-200,left,0.04,cross,None,x,True,0.37991583813
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,0,24,Schrei,negative,200,right,Name,-200,left,200,right,1,cross,None,m,True,0.331896003336
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,0,Neid,negative,-200,right,Dezember,200,right,200,right,0.04,hole,right,m,True,0.362124187872
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,1,Hässlichkeit,negative,200,right,August,-200,left,200,right,0.04,hole,right,m,True,0.346890570596
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,2,Gesundheit,positive,200,right,Apfel,-200,left,200,right,1,hole,left,m,True,0.367166367359
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,3,Feind,negative,-200,right,Wind,200,right,-200,left,0.04,hole,right,x,True,0.319154039025
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,4,Krieg,negative,200,right,März,-200,left,-200,left,1,hole,left,x,True,0.268286938779
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,5,Pessimismus,negative,200,right,Tag,-200,left,-200,left,0.04,hole,right,x,True,0.361935317516
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,6,Solidarität,positive,-200,right,Stuhl,200,right,-200,left,1,hole,right,x,True,0.307319674641
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,7,Mord,negative,200,right,Koch,-200,left,200,right,1,hole,right,m,True,0.309993085451
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,8,Eleganz,positive,-200,right,Kunde,200,right,200,right,1,hole,left,m,True,0.315199241973
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,9,Zufriedenheit,positive,-200,right,Drucker,200,right,200,right,0.04,hole,right,m,True,0.32379556261
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,10,Wohlbefinden,positive,200,right,RadiergummI,-200,left,200,right,0.04,hole,right,m,True,0.349705830216
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,11,Verzweiflung,negative,200,right,Zug,-200,left,200,right,1,hole,left,m,True,0.307044669054
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,12,Schrott,negative,200,right,Adresse,-200,left,-200,left,0.04,hole,left,m,False,0.481090147048
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,13,Treue,positive,-200,right,Bestellung,200,right,-200,left,0.04,hole,left,x,True,0.456793962047
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,14,Herzlichkeit,positive,-200,right,Locher,200,right,200,right,0.04,hole,left,m,True,0.34088033624
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,15,Qual,negative,-200,right,April,200,right,-200,left,1,hole,left,x,True,0.257089120336
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,16,Zuverlässigkeit,positive,-200,right,Füller,200,right,-200,left,0.04,hole,left,x,True,0.358164252713
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,17,Sicherheit,positive,-200,right,Berg,200,right,-200,left,0.04,hole,right,x,True,0.327955825254
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,18,Kostbarkeit,positive,-200,right,Eintrittskarte,200,right,200,right,1,hole,left,m,True,0.298446372151
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,19,Schönheit,positive,200,right,Kleiderhaken,-200,left,-200,left,0.04,hole,left,x,True,0.326960111968
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,20,Reichtum,positive,-200,right,Decke,200,right,200,right,1,hole,left,m,True,0.289724796079
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,21,Glück,positive,-200,right,Pullover,200,right,200,right,0.04,hole,left,m,True,0.403526088223
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,22,Erfolg,positive,-200,right,Einwohner,200,right,-200,left,0.04,hole,right,m,False,0.357223462313
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,23,Lebensfreude,positive,200,right,Juli,-200,left,200,right,1,hole,left,m,True,0.302701463923
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,1,24,Anschlag,negative,200,right,Balkon,-200,left,-200,left,1,hole,right,x,True,0.371210067533
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,0,Frohsinn,positive,-200,right,Bedienung,200,right,200,right,0.04,cross,None,m,True,0.475521267392
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,1,Horror,negative,-200,right,Supermarkt,200,right,200,right,0.04,cross,None,m,True,0.494181402028
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,2,Trauer,negative,-200,right,Schlüssel,200,right,-200,left,1,cross,None,x,True,0.326882272027
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,3,Verehrung,positive,200,right,Geburtstag,-200,left,200,right,0.04,cross,None,m,True,0.44155994989
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,4,Frieden,positive,-200,right,Ausweis,200,right,-200,left,0.04,cross,None,x,True,0.352889739908
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,5,Wut,negative,200,right,Bankkarte,-200,left,-200,left,0.04,cross,None,x,True,0.433200703003
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,6,Leid,negative,200,right,Brille,-200,left,200,right,0.04,cross,None,m,True,0.55720607657
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,7,Armut,negative,-200,right,Juni,200,right,-200,left,1,cross,None,x,True,0.361728668213
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,8,Spaß,positive,200,right,Hafen,-200,left,200,right,1,cross,None,m,True,0.349131319672
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,9,Beliebtheit,positive,200,right,Baum,-200,left,200,right,0.04,cross,None,m,True,0.529855187051
tklkl,23,weiblich,Hufflepuff,die,Der Pate,35,2,10,Anerkennung,positive,-200,right,Tisch,200,right,200,right,0.04,cross,None,m,True,0.571412766352
