subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,0,Hass,negative,200,right,Schlüssel,-200,left,200,right,1,cross,None,m,True,0.379141790792
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,1,Frieden,positive,-200,right,Bus,200,right,200,right,1,cross,None,m,True,0.300222454593
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,2,Hässlichkeit,negative,-200,right,Fußboden,200,right,200,right,0.04,cross,None,m,True,0.419846691191
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,3,Freiheit,positive,200,right,Apfel,-200,left,200,right,1,cross,None,x,False,0.272330639884
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,4,Schatz,positive,-200,right,Schrank,200,right,200,right,1,cross,None,m,True,0.302409071475
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,5,Tapferkeit,positive,200,right,Dezember,-200,left,-200,left,1,cross,None,x,True,0.38629156258
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,6,Gestank,negative,200,right,Locher,-200,left,200,right,1,cross,None,m,True,0.322031727992
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,7,Folter,negative,-200,right,Bestellung,200,right,200,right,1,cross,None,m,True,0.335454886779
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,8,Glück,positive,200,right,Kellner,-200,left,200,right,1,cross,None,m,True,0.349146729335
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,9,Gefängnis,negative,200,right,Diskette,-200,left,200,right,1,cross,None,m,True,0.301195645705
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,10,Lachen,positive,200,right,Adresse,-200,left,-200,left,0.04,cross,None,x,True,0.448174723424
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,11,Freundschaft,positive,-200,right,Füller,200,right,-200,left,0.04,cross,None,x,True,0.418515518308
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,12,Einsamkeit,negative,200,right,Fuß,-200,left,200,right,1,cross,None,m,True,0.267666199245
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,13,Totschlag,negative,-200,right,Pullover,200,right,-200,left,1,cross,None,x,True,0.341818757355
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,14,Pessimismus,negative,-200,right,Einwohner,200,right,-200,left,0.04,cross,None,x,True,0.370999071747
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,15,Schrott,negative,200,right,Bankkarte,-200,left,200,right,1,cross,None,m,True,0.273091253825
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,16,Panik,negative,-200,right,Platz,200,right,200,right,1,cross,None,m,True,0.324042515829
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,17,Harmonie,positive,-200,right,Bank,200,right,200,right,0.04,cross,None,m,True,0.390371614136
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,18,Heimweh,negative,200,right,Mai,-200,left,200,right,1,cross,None,m,True,0.326351621188
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,19,Krieg,negative,-200,right,Brille,200,right,-200,left,0.04,cross,None,x,True,0.418663690798
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,20,Leidenschaft,positive,-200,right,Zuschauer,200,right,-200,left,1,cross,None,x,True,0.38315151073
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,21,Beliebtheit,positive,-200,right,Oktober,200,right,200,right,1,cross,None,m,True,0.25712231081
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,22,Schock,negative,200,right,Beschreibung,-200,left,-200,left,1,cross,None,x,True,0.421952308156
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,23,Herzlichkeit,positive,-200,right,Projektor,200,right,-200,left,1,cross,None,x,True,0.332291917875
VV,27,weiblich,Hufflepuff,die,Pulp Fiction,34,0,24,Rache,negative,200,right,Kunde,-200,left,200,right,1,cross,None,m,True,0.358346405439
