subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,0,Verzweiflung,negative,-200,right,Bluse,200,right,-200,left,0.04,cross,None,x,True,0.456807136536
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,1,Trennung,negative,200,right,Baum,-200,left,200,right,0.04,cross,None,m,True,0.326658010483
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,2,Einsamkeit,negative,-200,right,Rock,200,right,200,right,1,cross,None,m,True,0.340309143066
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,3,Totschlag,negative,-200,right,Gast,200,right,200,right,1,cross,None,m,True,0.349884986877
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,4,Verletzung,negative,-200,right,Zucker,200,right,200,right,0.04,cross,None,m,True,0.509308099747
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,5,Glück,positive,200,right,Finger,-200,left,200,right,0.04,cross,None,m,True,0.327398061752
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,6,Rache,negative,200,right,Adresse,-200,left,200,right,1,cross,None,m,True,0.439812898636
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,7,Müll,negative,-200,right,Teppich,200,right,-200,left,1,cross,None,x,True,0.373652219772
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,8,Stärke,positive,-200,right,Februar,200,right,200,right,1,cross,None,m,True,0.322658061981
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,9,Schock,negative,200,right,Schrank,-200,left,-200,left,0.04,cross,None,x,True,0.364461898804
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,10,Schrei,negative,-200,right,Balkon,200,right,200,right,1,cross,None,m,True,0.361376047134
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,11,Tapferkeit,positive,200,right,Dienstag,-200,left,-200,left,1,cross,None,x,True,0.360741853714
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,12,Übelkeit,negative,-200,right,Kleiderhaken,200,right,200,right,1,cross,None,m,True,0.487053155899
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,13,Folter,negative,200,right,Januar,-200,left,-200,left,0.04,cross,None,x,True,0.429291009903
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,14,Qual,negative,-200,right,Oktober,200,right,200,right,0.04,cross,None,m,True,0.393988847733
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,15,Attraktivität,positive,-200,right,Dusche,200,right,200,right,0.04,cross,None,m,True,0.446676015854
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,16,Geschenk,positive,-200,right,Fuß,200,right,-200,left,1,cross,None,x,True,0.331878185272
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,17,Wunde,negative,-200,right,Wind,200,right,-200,left,1,cross,None,x,True,0.305381059647
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,18,Sympathie,positive,200,right,Apfel,-200,left,200,right,0.04,cross,None,m,True,0.41544008255
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,19,Entspannung,positive,200,right,Pass,-200,left,-200,left,1,cross,None,x,True,0.335211992264
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,20,Leid,negative,200,right,Kaffee,-200,left,200,right,1,cross,None,m,True,0.384006023407
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,21,Rücksichtnahme,positive,-200,right,November,200,right,200,right,1,cross,None,m,True,0.34697508812
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,22,Trauer,negative,200,right,Keller,-200,left,-200,left,0.04,cross,None,x,True,0.310697078705
CS,25,weiblich,Slytherin,die,Pulp Fiction,20,0,23,Pessimismus,negative,-200,right,Flur,200,right,-200,left,0.04,cross,None,x,True,0.373178005219
