subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,0,Krieg,negative,200,right,Juni,-200,left,200,right,1,cross,None,m,True,0.318021613173
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,1,Schatz,positive,-200,right,Zucker,200,right,-200,left,1,cross,None,x,True,0.342007230967
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,2,Müll,negative,200,right,Marktplatz,-200,left,200,right,0.04,cross,None,m,True,0.357573146932
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,3,Mord,negative,-200,right,August,200,right,200,right,1,cross,None,m,True,0.355173163116
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,4,Angst,negative,200,right,Park,-200,left,200,right,0.04,cross,None,m,True,0.392530572601
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,5,Lebensfreude,positive,-200,right,Passant,200,right,-200,left,1,cross,None,m,False,0.258547128178
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,6,Sucht,negative,200,right,März,-200,left,200,right,1,cross,None,m,True,0.312309698202
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,7,Tapferkeit,positive,-200,right,Locher,200,right,200,right,0.04,cross,None,m,True,0.448114665225
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,8,Qual,negative,200,right,Eile,-200,left,200,right,0.04,cross,None,m,True,0.406470158137
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,9,Zufriedenheit,positive,200,right,Monitor,-200,left,-200,left,0.04,cross,None,x,True,0.426262718625
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,10,Ekel,negative,200,right,Flughafen,-200,left,-200,left,1,cross,None,x,True,0.348807318136
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,11,Vergnügen,positive,-200,right,Flur,200,right,200,right,0.04,cross,None,m,True,0.346108224243
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,12,Heimweh,negative,200,right,Bedienung,-200,left,200,right,1,cross,None,m,True,0.371644308791
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,13,Waffe,negative,200,right,Kunde,-200,left,-200,left,1,cross,None,x,True,0.32144338917
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,14,Kraft,positive,200,right,Kleiderhaken,-200,left,-200,left,0.04,cross,None,x,True,0.506252840161
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,15,Solidarität,positive,200,right,Septmeber,-200,left,200,right,0.04,cross,None,m,True,0.362015133724
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,16,Belohnung,positive,-200,right,Zug,200,right,200,right,1,cross,None,m,True,0.454431910068
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,17,Frohsinn,positive,-200,right,Mai,200,right,-200,left,0.04,cross,None,x,True,0.405012940057
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,18,Harmonie,positive,200,right,Hut,-200,left,-200,left,1,cross,None,x,True,0.38384850882
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,19,Tod,negative,-200,right,Ausweis,200,right,-200,left,1,cross,None,m,False,0.36025959719
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,20,Schmerz,negative,200,right,Schrank,-200,left,-200,left,0.04,cross,None,x,True,0.456289784051
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,21,Bewunderung,positive,200,right,Rock,-200,left,200,right,1,cross,None,m,True,0.365701641887
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,22,Kostbarkeit,positive,200,right,Herr,-200,left,200,right,1,cross,None,m,True,0.343721674755
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,23,Hass,negative,200,right,April,-200,left,200,right,1,cross,None,m,True,0.294983108528
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,0,24,Wohlstand,positive,-200,right,Keller,200,right,200,right,1,cross,None,m,True,0.291965150274
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,1,0,Anerkennung,positive,200,right,Anzug,-200,left,200,right,1,hole,left,m,True,0.366705651395
Muggel123,26,weiblich,Hufflepuff,die,Der Pate,40,1,1,Unglück,negative,200,right,Dose,-200,left,-200,left,1,hole,right,x,True,0.335029733367
