subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,0,Sturz,negative,200,right,Anzug,-200,left,200,right,1,cross,None,m,True,0.331979990005
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,1,Verzweiflung,negative,200,right,Geburtstag,-200,left,-200,left,1,cross,None,x,True,0.294458150864
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,2,Leid,negative,200,right,Laden,-200,left,200,right,0.04,cross,None,m,True,0.358050107956
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,3,Krieg,negative,-200,right,Decke,200,right,200,right,0.04,cross,None,m,True,0.341426849365
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,4,Belohnung,positive,-200,right,Dose,200,right,200,right,1,cross,None,m,True,0.279948949814
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,5,Rache,negative,200,right,RadiergummI,-200,left,200,right,1,cross,None,m,True,0.337224960327
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,6,Mord,negative,200,right,Platz,-200,left,200,right,0.04,cross,None,m,True,0.468512058258
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,7,Erfolg,positive,200,right,Eintrittskarte,-200,left,-200,left,0.04,cross,None,x,True,0.482897043228
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,8,Hass,negative,-200,right,Kugelschrieber,200,right,200,right,0.04,cross,None,m,True,0.294459104538
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,9,Hilfsbereitschaft,positive,-200,right,Bahnhof,200,right,-200,left,1,cross,None,x,True,0.326385974884
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,10,Folter,negative,-200,right,Supermarkt,200,right,-200,left,1,cross,None,x,True,0.34147977829
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,11,Wut,negative,200,right,Bildschirm,-200,left,-200,left,0.04,cross,None,x,True,0.34709405899
RC1,22,weiblich,Ravenclaw,die,Der Pate,36,0,12,Sicherheit,positive,-200,right,Wagen,200,right,-200,left,0.04,cross,None,x,True,0.370248794556
