subject,age,sex,house,nutella,movie,temperature,block,trial,cue_cond,cue_valence,cue_cond_pos,cue_cond_side,cue_neutral,cue_neutral_pos,cue_neutral_side,target_pos,target_side,duration,fixation,fixation_direction,response,correct,rt
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,0,Trennung,negative,200,right,Supermarkt,-200,left,200,right,1,cross,None,m,True,0.331929984502
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,1,Übelkeit,negative,200,right,RadiergummI,-200,left,200,right,1,cross,None,m,True,0.389173992909
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,2,Genuss,positive,200,right,Tag,-200,left,-200,left,0.04,cross,None,x,True,0.424739909358
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,3,Dankbarkeit,positive,200,right,November,-200,left,200,right,0.04,cross,None,m,True,0.383045221679
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,4,Dummheit,negative,-200,right,Januar,200,right,-200,left,1,cross,None,x,True,0.332185629755
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,5,Schock,negative,200,right,Dusche,-200,left,-200,left,0.04,cross,None,x,True,0.387300709262
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,6,Angst,negative,-200,right,Fernseher,200,right,200,right,1,cross,None,m,True,0.29574451223
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,7,Freundschaft,positive,200,right,Strumpf,-200,left,200,right,0.04,cross,None,m,True,0.345947803929
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,8,Schrott,negative,200,right,Rock,-200,left,200,right,0.04,cross,None,m,True,0.398788549006
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,9,Einsamkeit,negative,200,right,Einwohner,-200,left,-200,left,1,cross,None,x,True,0.348637019284
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,10,Spaß,positive,200,right,Bestellung,-200,left,200,right,1,cross,None,m,True,0.341301538981
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,11,Sucht,negative,-200,right,Bluse,200,right,200,right,0.04,cross,None,m,True,0.475181460381
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,12,Waffe,negative,200,right,Kakao,-200,left,-200,left,1,cross,None,x,True,0.333058458753
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,13,Totschlag,negative,-200,right,Mai,200,right,200,right,0.04,cross,None,m,True,0.837048422545
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,14,Unglück,negative,200,right,Gast,-200,left,-200,left,0.04,cross,None,x,True,0.487906434573
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,15,Bewunderung,positive,-200,right,Drucker,200,right,200,right,1,cross,None,m,True,0.349352588877
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,16,Kraft,positive,200,right,Cola,-200,left,-200,left,0.04,cross,None,x,True,0.514752355404
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,17,Optimismus,positive,200,right,Apfel,-200,left,-200,left,0.04,cross,None,x,True,0.419595788233
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,18,Stärke,positive,200,right,Kleiderhaken,-200,left,200,right,1,cross,None,m,True,0.284895192832
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,19,Eleganz,positive,200,right,Diskette,-200,left,200,right,1,cross,None,m,True,0.26213683188
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,20,Zufriedenheit,positive,-200,right,Oktober,200,right,200,right,1,cross,None,m,True,0.290553371422
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,21,Höflichkeit,positive,-200,right,Juni,200,right,-200,left,0.04,cross,None,m,False,0.626196336932
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,22,Frieden,positive,-200,right,Dolmetscherin,200,right,-200,left,1,cross,None,x,True,0.316479838453
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,23,Reichtum,positive,-200,right,Sessel,200,right,200,right,1,cross,None,m,True,0.325042969547
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,0,24,Bombe,negative,-200,right,Dienstag,200,right,-200,left,1,cross,None,x,True,0.365405298769
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,0,Harmonie,positive,-200,right,Name,200,right,200,right,0.04,hole,left,m,True,0.520162791014
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,1,Verehrung,positive,-200,right,Projektor,200,right,-200,left,1,hole,left,x,True,0.341540588997
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,2,Trauer,negative,-200,right,Platz,200,right,-200,left,0.04,hole,right,x,True,0.340333879925
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,3,Terror,negative,-200,right,Stuhl,200,right,200,right,0.04,hole,left,m,True,0.363182330504
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,4,Feind,negative,200,right,Bank,-200,left,200,right,0.04,hole,right,m,True,0.402636268176
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,5,Panik,negative,-200,right,Teppich,200,right,200,right,1,hole,left,m,True,0.316861133091
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,6,Sympathie,positive,-200,right,Flughafen,200,right,-200,left,1,hole,right,x,True,0.337101764046
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,7,Tod,negative,-200,right,Ausweis,200,right,-200,left,0.04,hole,right,x,True,0.423362110741
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,8,Qual,negative,-200,right,Bibliothek,200,right,-200,left,0.04,hole,left,x,True,0.329420155846
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,9,Unterstützung,positive,-200,right,Fuß,200,right,-200,left,0.04,hole,left,x,True,0.36564237345
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,10,Wunde,negative,-200,right,Berg,200,right,200,right,0.04,hole,left,m,True,0.344182388857
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,11,Tapferkeit,positive,200,right,Apfelsine,-200,left,200,right,1,hole,left,m,True,0.355569868349
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,12,Krieg,negative,-200,right,Beschreibung,200,right,-200,left,0.04,hole,left,x,True,0.319500958547
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,13,Lachen,positive,-200,right,Juli,200,right,-200,left,0.04,hole,left,x,True,0.43284588214
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,14,Heimweh,negative,200,right,Keller,-200,left,200,right,0.04,hole,right,m,True,0.360474148765
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,15,Schatz,positive,-200,right,März,200,right,200,right,1,hole,right,m,True,0.369064543396
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,16,Wohlbefinden,positive,-200,right,Apotheke,200,right,-200,left,1,hole,left,x,True,0.329643400386
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,17,Koma,negative,-200,right,Flur,200,right,200,right,0.04,hole,left,m,True,0.303936227225
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,18,Beliebtheit,positive,200,right,Finger,-200,left,200,right,1,hole,right,m,True,0.28729952313
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,19,Sicherheit,positive,200,right,Bankkarte,-200,left,200,right,1,hole,right,m,True,0.331245234236
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,20,Horror,negative,-200,right,Hut,200,right,-200,left,1,hole,right,x,True,0.321096073836
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,21,Hass,negative,200,right,Park,-200,left,200,right,1,hole,right,m,True,0.329465594143
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,22,Sturz,negative,200,right,Tisch,-200,left,200,right,1,hole,right,m,True,0.330826797523
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,23,Erfolg,positive,200,right,Koch,-200,left,-200,left,1,hole,right,x,True,0.301673350856
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,1,24,Mut,positive,200,right,Computer,-200,left,-200,left,0.04,hole,right,x,True,0.450652942061
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,0,Schönheit,positive,200,right,Garten,-200,left,200,right,1,cross,None,x,False,0.269999012351
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,1,Unfall,negative,200,right,Bildschirm,-200,left,-200,left,0.04,cross,None,x,True,0.481037596241
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,2,Schrei,negative,-200,right,Löffel,200,right,200,right,0.04,cross,None,m,True,0.369656044059
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,3,Schmerz,negative,-200,right,Pass,200,right,200,right,1,cross,None,m,True,0.286424323916
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,4,Gesundheit,positive,-200,right,Markt,200,right,200,right,0.04,cross,None,m,True,0.353237845004
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,5,Herzlichkeit,positive,200,right,Bahnhof,-200,left,-200,left,0.04,cross,None,x,True,0.406312898733
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,6,Droge,negative,-200,right,Adresse,200,right,200,right,0.04,cross,None,m,True,0.353143410757
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,7,Geschenk,positive,-200,right,April,200,right,200,right,1,cross,None,m,True,0.291029496118
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,8,Neid,negative,200,right,Brille,-200,left,-200,left,1,cross,None,x,True,0.391176877543
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,9,Solidarität,positive,200,right,Tee,-200,left,200,right,1,cross,None,m,True,0.3306738846
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,10,Leid,negative,200,right,Brücke,-200,left,-200,left,1,cross,None,x,True,0.361781614833
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,11,Kostbarkeit,positive,-200,right,Eintrittskarte,200,right,200,right,1,cross,None,m,True,0.370983267203
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,12,Anschlag,negative,200,right,Füller,-200,left,200,right,0.04,cross,None,m,True,0.347716379911
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,13,Frohsinn,positive,200,right,Februar,-200,left,200,right,0.04,cross,None,m,True,0.3970464468
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,14,Liebe,positive,200,right,Balkon,-200,left,-200,left,0.04,cross,None,x,True,0.389939349145
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,15,Bereicherung,positive,-200,right,Laden,200,right,-200,left,0.04,cross,None,x,True,0.31848706957
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,16,Wohlstand,positive,200,right,Septmeber,-200,left,-200,left,1,cross,None,x,True,0.320949088782
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,17,Anerkennung,positive,-200,right,Zuschauer,200,right,-200,left,1,cross,None,x,True,0.349183475599
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,18,Folter,negative,200,right,Locher,-200,left,-200,left,1,cross,None,x,True,0.309802635573
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,19,Zuverlässigkeit,positive,-200,right,Zeiger,200,right,-200,left,1,cross,None,x,True,0.30765157938
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,20,Schleim,negative,-200,right,Kunde,200,right,200,right,1,cross,None,m,True,0.434003596194
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,21,Treue,positive,-200,right,Anzug,200,right,-200,left,0.04,cross,None,x,True,0.376527648419
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,22,Müll,negative,200,right,Bedienung,-200,left,200,right,0.04,cross,None,m,True,0.486122844741
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,23,Armut,negative,-200,right,Wind,200,right,200,right,0.04,cross,None,m,True,0.361738941632
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,2,24,Krankheit,negative,200,right,Baum,-200,left,200,right,0.04,cross,None,m,True,0.362828299403
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,3,0,Freiheit,positive,200,right,Schrank,-200,left,200,right,1,hole,left,m,True,0.345374084078
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,3,1,Glück,positive,-200,right,Monitor,200,right,200,right,1,hole,left,m,True,0.415243495256
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,3,2,Ehrlichkeit,positive,-200,right,Decke,200,right,-200,left,1,hole,left,x,True,0.462859513238
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,3,3,Regen,negative,200,right,Wagen,-200,left,200,right,1,hole,left,m,True,0.544391805306
zuzuzu,25,männlich,Hufflepuff,das,Der Pate,36,3,4,Rache,negative,200,right,Pullover,-200,left,200,right,0.04,hole,left,m,True,0.385854950175
